year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation
2010,AL-503,819.0,645.0,174.0,522812,0.0,,,9.75128746032715,22.7770805358887,30.1196670532227,,0,1628,1.54153943061829,1,0,8.88440322875977,46.2489356994629,11.7613983154297,3.10103702545166,91.8498382568359,,103271,21041,8989,220,139487,67454,265896,7532,,,,,,8.71757078833309,,34.9404945373535,76.895378112793,5.84153652191162,67.9450073242188
2011,AL-503,656.0,481.0,175.0,538885,-0.796746401411127,1.60124468803406,16.1056041717529,9.75128746032715,22.7770805358887,30.1196670532227,8.83098983764648,0,1434,1.54153943061829,1,0,9.0573787689209,46.2489356994629,12.9010829925537,3.05379843711853,91.5560989379883,3.84668111801147,104568,29285,9984,444,143242,68364,272950,4676,,28.0112590789795,26.5020999908447,14.5412683486938,67.6972885131836,8.74319289408687,,36.1006126403809,81.192008972168,5.01912212371826,49.5865325927734
2012,AL-503,607.0,432.0,175.0,545056,-3.72847947850289,,,9.75128746032715,22.7770805358887,30.1196670532227,,0,1305,1.54153943061829,1,0,8.57955265045166,46.2489356994629,14.119833946228,3.04544806480408,91.2714538574219,,105988,29791,10046,422,142908,70125,276264,4024,,,,,,8.79685428831166,,45.6696395874023,79.7041015625,8.01477432250977,63.7123107910156
2013,AL-503,586.0,409.0,177.0,549951,-4.92182619520464,1.60124468803406,16.1056041717529,9.75128746032715,22.7770805358887,30.1196670532227,8.83098983764648,0,1186,1.54153943061829,1,0,7.11453866958618,46.2489356994629,13.1184415817261,2.96979236602783,92.2410507202148,3.84668111801147,107592,29855,10381,440,142318,73419,279170,2997,,28.0112590789795,26.5020999908447,14.5412683486938,67.6972885131836,8.9046857205642,,44.027271270752,78.0281982421875,9.08018779754639,53.3281593322754
2014,AL-503,536.0,499.0,37.0,554814,-6.42852461050386,,,9.75128746032715,22.7770805358887,30.1196670532227,,0,1319,1.54153943061829,1,0,6.41862010955811,46.2489356994629,14.6420240402222,3.19243931770325,93.723762512207,,109116,30106,10618,440,141750,76377,281762,3258,,,,,,8.72899070286619,,32.6067924499512,76.1590347290039,2.86137986183167,64.5519638061523
2015,AL-503,420.0,357.0,63.0,559620,-6.4729752912703,1.72603678703308,16.0252494812012,9.75128746032715,22.7770805358887,30.1196670532227,7.66778564453125,0,1281,1.54153943061829,1,0,6.247389793396,46.2489356994629,13.9964628219604,2.93876814842224,92.5194244384766,3.12073969841003,110481,30588,10979,443,141788,79258,284617,2879,,29.5809020996094,26.4177322387695,12.4708290100098,64.9470138549805,8.77714315828598,,39.0622406005859,76.101432800293,4.40807437896729,55.740104675293
2016,AL-503,385.0,298.0,87.0,563572,-5.53906062018957,,,9.75128746032715,22.7770805358887,30.1196670532227,,0,1479,1.54153943061829,1,0,5.56556940078735,46.2489356994629,13.799656867981,2.94572377204895,92.9496765136719,,111963,31420,11218,463,141912,81912,286531,2447,,,,,,8.80007336178873,,38.44091796875,78.1974639892578,4.3653392791748,66.5991516113281
2017,AL-503,436.0,337.0,99.0,568051,-3.95539117410777,1.72603678703308,16.0252494812012,9.75128746032715,22.7770805358887,30.1196670532227,7.66778564453125,0,1065,1.54153943061829,1,0,5.23860883712769,46.2489356994629,13.5637464523315,2.90868330001831,93.3449249267578,3.12073969841003,113672,32270,11578,486,142081,84508,289011,3196,0.0176678895950317,29.5809020996094,26.4177322387695,12.4708290100098,64.9470138549805,9.31920846791925,0.154150247573853,48.5707588195801,80.2383804321289,6.11075925827026,46.1163902282715
2010,AL-504,444.0,294.0,150.0,377317,0.0,,,13.1453723907471,28.1911373138428,35.2873382568359,,0,1712,1.54163789749146,1,0,10.5295066833496,46.585376739502,17.2473011016846,4.14261484146118,82.0005874633789,,162755,9417,4177,118,107093,45765,193814,-1209,,,,,,8.48001900648526,,41.4998397827148,79.4399032592773,6.79675006866455,73.0899047851563
2011,AL-504,433.0,287.0,146.0,386008,-4.00238923809104,1.68631458282471,21.6065464019775,13.1453723907471,28.1911373138428,35.2873382568359,8.46378612518311,0,1274,1.54163789749146,1,0,9.89359283447266,46.585376739502,17.8732051849365,4.11886501312256,83.1443481445313,5.82536649703979,167016,12580,5889,165,105877,46738,199969,704,,28.3061027526855,37.6162796020508,14.6376609802246,72.0219268798828,8.61661669229653,,41.6839179992676,83.1979598999023,2.75766348838806,43.4109039306641
